A=3671 B=8839 C=6722 X=745631793 Y=9278789349 Z=79403376288 M=3421
A=7234 B=4154 C=8520 X=731957377 Y=2227709526 Z=75661903551 M=4619
A=7510 B=6536 C=7552 X=877623085 Y=9050089006 Z=15246823331 M=4154
A=2854 B=4768 C=6061 X=697113446 Y=2005511913 Z=42297091479 M=2057
A=3646 B=7794 C=8629 X=226136963 Y=4708122997 Z=20851854584 M=2164
A=2210 B=5984 C=5034 X=254751323 Y=7718897885 Z=92379876119 M=7241
A=4415 B=4355 C=8321 X=765667527 Y=5129935024 Z=99281605945 M=8662
A=8594 B=7215 C=9771 X=897111666 Y=1343612514 Z=35715860832 M=8670
A=7089 B=6582 C=7763 X=468570772 Y=9002252879 Z=14152303679 M=9436
A=4940 B=3611 C=6448 X=879285254 Y=3139992909 Z=86485006640 M=6793
A=6282 B=3984 C=8826 X=477208715 Y=7477062792 Z=55308017609 M=4890
A=6708 B=5860 C=6032 X=510753204 Y=2530300026 Z=62879167273 M=1082
A=4011 B=4122 C=8319 X=203911643 Y=5090243845 Z=91993747103 M=3784
A=9760 B=3180 C=9630 X=112446558 Y=9893321600 Z=74631933908 M=4710
A=7653 B=6156 C=7101 X=970893541 Y=9734761610 Z=53310849073 M=2285
A=7539 B=3034 C=7126 X=864661397 Y=7514896846 Z=14953225313 M=4672
A=8746 B=6027 C=8189 X=923184461 Y=1517665798 Z=24749381847 M=2500
A=8469 B=4175 C=7072 X=779733129 Y=9651357101 Z=81394145159 M=5937
A=3890 B=6981 C=8570 X=292344483 Y=6691891776 Z=79425336070 M=1584
A=6415 B=9605 C=6324 X=940266124 Y=4436657075 Z=94281234639 M=6631
A=7818 B=9936 C=5931 X=707353636 Y=8028227524 Z=82496120472 M=3051
A=3319 B=8216 C=7524 X=911422103 Y=1713775343 Z=17773223796 M=4379
A=9200 B=6377 C=6805 X=265190148 Y=9718199955 Z=91390155642 M=7244
A=6574 B=4998 C=5132 X=380199604 Y=7430878338 Z=32622177651 M=4677
A=9430 B=3298 C=7950 X=247188271 Y=2716853989 Z=41420391344 M=7451
A=8960 B=3127 C=7277 X=465603538 Y=7348993734 Z=46472746829 M=9202
A=3657 B=7733 C=5190 X=267341567 Y=7258377664 Z=50384395281 M=5438
A=9206 B=6435 C=9787 X=315525705 Y=9637552755 Z=24221508884 M=7802
A=3250 B=8004 C=5729 X=363734609 Y=2368643123 Z=22851312084 M=7377
A=8599 B=9206 C=7893 X=291576335 Y=2107635610 Z=21940192744 M=7093
A=2139 B=6594 C=9952 X=932591636 Y=7102534319 Z=41805069570 M=1046
A=4760 B=7499 C=6499 X=150118029 Y=9067217135 Z=54388934673 M=2087
A=2340 B=4324 C=7206 X=604743691 Y=5688255137 Z=50120840391 M=4145
A=9460 B=6028 C=9091 X=649716797 Y=9568946814 Z=53167975681 M=5922
A=2152 B=9594 C=5874 X=958061646 Y=4444570920 Z=73150794088 M=9224
A=6413 B=9309 C=5834 X=528984846 Y=8065168316 Z=21112766275 M=9286
A=5882 B=9840 C=9528 X=400361270 Y=4345770386 Z=73457051279 M=3363
A=8630 B=5240 C=7137 X=155575189 Y=2353554882 Z=67094470437 M=8822
A=8852 B=5982 C=6972 X=137181283 Y=9521707939 Z=20323371024 M=3181
A=6087 B=6992 C=7697 X=287700262 Y=8409934446 Z=92989084411 M=5917
A=8501 B=6985 C=5296 X=587690727 Y=9634989339 Z=72428889490 M=5305
A=8350 B=6731 C=8729 X=277472190 Y=9979417420 Z=40224815179 M=2856
A=7119 B=7246 C=8122 X=623461342 Y=6511507043 Z=53317651043 M=1375
A=5368 B=3199 C=5685 X=202692915 Y=3240922768 Z=37602114183 M=1454
A=5815 B=5559 C=6686 X=830138902 Y=3211531099 Z=43677844327 M=5324
A=8220 B=5833 C=7859 X=608425034 Y=9174998013 Z=41764503260 M=9241
A=8492 B=8161 C=9901 X=602191150 Y=4050242984 Z=95089890274 M=1347
A=6280 B=7813 C=9126 X=561526875 Y=3604261667 Z=86667543715 M=7458
A=9799 B=9900 C=7479 X=812667965 Y=2581245197 Z=79992143703 M=7134
A=8490 B=3679 C=9540 X=922568922 Y=8171063936 Z=34065216166 M=8675
A=9552 B=3608 C=9579 X=388663316 Y=4644132177 Z=16496050593 M=4792
A=2409 B=6762 C=8177 X=378141770 Y=5002375801 Z=67383566632 M=8750
A=4087 B=9913 C=6355 X=518148692 Y=3977853573 Z=17991638322 M=1065
A=6786 B=9967 C=8519 X=639497693 Y=8329686039 Z=57509763981 M=8783
A=9743 B=6660 C=6144 X=103191789 Y=7686609273 Z=51841002110 M=5098
A=6925 B=6934 C=6285 X=993434658 Y=1899084105 Z=33652805276 M=7999
A=2013 B=5807 C=9687 X=388501976 Y=6316896954 Z=11263429814 M=5713
A=9206 B=7952 C=5232 X=291527013 Y=7390588969 Z=87369815247 M=3094
A=4157 B=3512 C=9716 X=628906882 Y=3860650455 Z=86513989736 M=5865
A=6434 B=8154 C=8658 X=205985945 Y=6233535492 Z=18725847551 M=3641
A=8317 B=9467 C=6326 X=417013709 Y=3429753249 Z=66441852927 M=8823
A=3722 B=5966 C=6794 X=787664683 Y=5858104327 Z=64181883180 M=7231
A=4121 B=3615 C=7534 X=208473787 Y=2323477555 Z=97141344785 M=4661
A=2308 B=3505 C=5325 X=562790366 Y=4404250038 Z=61193978854 M=9605
A=7807 B=6025 C=5972 X=647826717 Y=1400795921 Z=76042281724 M=4182
A=8294 B=8417 C=5288 X=634652116 Y=1838987301 Z=40651945651 M=7707
A=7299 B=6985 C=5184 X=324205117 Y=1716403085 Z=91910005349 M=7906
A=6750 B=8304 C=6222 X=889009416 Y=1062798367 Z=38103157976 M=4361
A=6903 B=9434 C=8149 X=795696207 Y=2699299135 Z=71897435979 M=5776
A=6340 B=6968 C=9988 X=524780970 Y=4170456614 Z=85960859472 M=6213
A=9018 B=5097 C=5809 X=238688049 Y=8615780087 Z=42835154755 M=3327
A=2232 B=7864 C=9663 X=887733777 Y=7524022427 Z=29220313642 M=7570
A=9337 B=4594 C=9608 X=443093350 Y=3716018749 Z=37798461007 M=9697
A=2386 B=5272 C=9754 X=316961434 Y=4046439736 Z=79975572502 M=9404
A=3315 B=4147 C=6634 X=406082258 Y=4820355955 Z=98014457286 M=2553
A=2286 B=3718 C=7477 X=846103938 Y=2816322789 Z=89729826788 M=6098
A=8411 B=9204 C=5193 X=728841065 Y=5021334589 Z=80102891280 M=1588
A=6153 B=7433 C=6787 X=967837102 Y=5448967401 Z=92089985170 M=6943
A=8217 B=9339 C=7881 X=996163786 Y=1723441716 Z=41073366675 M=6897
A=9642 B=8122 C=7632 X=516340770 Y=4566482043 Z=12857530729 M=7807
A=9423 B=4732 C=9930 X=530495127 Y=4226930107 Z=70304120462 M=6880
A=8434 B=3297 C=6134 X=602130591 Y=3067624294 Z=93739138731 M=6454
A=3334 B=4367 C=5720 X=221506515 Y=1065176642 Z=16722342157 M=9145
A=7833 B=3934 C=7874 X=345739699 Y=6178854896 Z=96389385627 M=1755
A=8809 B=7731 C=5912 X=622308759 Y=6072804696 Z=15490501640 M=6629
A=6205 B=8915 C=5178 X=799357508 Y=1670654778 Z=26141361662 M=4777
A=7642 B=5925 C=9453 X=764034799 Y=6920341996 Z=34526435183 M=6586
A=2116 B=9379 C=5914 X=131842274 Y=4880041689 Z=13982575614 M=5100
A=7786 B=6759 C=9437 X=211056947 Y=3881872981 Z=38196395027 M=2588
A=2440 B=5316 C=7217 X=392797188 Y=4435310674 Z=34521197211 M=7291
A=5528 B=3570 C=9023 X=870520144 Y=8661926013 Z=36687307295 M=3932
A=5970 B=5983 C=6143 X=339349910 Y=5946831780 Z=21929579290 M=4896
A=8184 B=5603 C=8289 X=597655321 Y=7318215968 Z=77653953410 M=1942
A=6956 B=7013 C=8797 X=444499327 Y=4017268729 Z=81880327834 M=9273
A=7157 B=6546 C=7233 X=159350477 Y=1300242690 Z=47811641245 M=7303
A=2208 B=5721 C=7478 X=367719912 Y=5406220475 Z=42757560141 M=3103
A=8362 B=3969 C=8562 X=332024202 Y=2604889101 Z=89538023029 M=5766
A=9694 B=6604 C=5342 X=527474271 Y=8925553711 Z=78922682675 M=8738
A=8227 B=3260 C=6941 X=290116260 Y=1156245137 Z=56749642437 M=2829
A=5742 B=5621 C=5528 X=339493067 Y=4242453060 Z=31718753220 M=5720
A=7480 B=8538 C=9026 X=341533327 Y=6215352179 Z=35239846790 M=3935
A=2415 B=6518 C=5418 X=670236631 Y=2542972521 Z=66261888218 M=5412
A=4384 B=3724 C=9435 X=702246932 Y=5651199191 Z=99209579024 M=6159
A=5131 B=9544 C=7791 X=188605682 Y=4683414444 Z=53731754392 M=8112
A=7339 B=8296 C=6828 X=575699911 Y=4900078238 Z=39284296342 M=4620
A=6084 B=6627 C=5168 X=585724364 Y=7191227666 Z=89586016666 M=2146
A=9050 B=3072 C=5865 X=846185752 Y=3067148620 Z=55401544469 M=2681
A=3991 B=7667 C=9664 X=664695265 Y=1385938154 Z=85465560113 M=2555
A=4583 B=7288 C=7514 X=235033624 Y=3889703244 Z=71565539322 M=7848
A=3142 B=5991 C=8749 X=768765328 Y=3502666222 Z=19961472649 M=8364
A=5801 B=8669 C=5622 X=884126200 Y=9179646548 Z=95832766316 M=9360
A=3593 B=6213 C=6428 X=883923490 Y=3510159348 Z=67151056623 M=4602
A=4789 B=7418 C=6939 X=175534100 Y=9505845148 Z=52002816536 M=6632
A=5869 B=8002 C=9297 X=446900906 Y=2536399403 Z=18708488485 M=5757
A=9922 B=9794 C=8710 X=531591616 Y=3368083524 Z=56151532655 M=2578
A=4934 B=4701 C=7780 X=507277499 Y=1743170954 Z=25250880492 M=8538
A=7504 B=3645 C=7522 X=574705623 Y=7698782288 Z=14103142124 M=1460
A=6836 B=3964 C=9289 X=392132713 Y=2849300675 Z=66948657430 M=1524
A=7064 B=9349 C=7784 X=145908042 Y=7681267163 Z=55159716162 M=4015
A=8741 B=7392 C=5655 X=541978500 Y=5159718827 Z=46893216990 M=7531
A=9891 B=3494 C=7423 X=481208082 Y=9136219833 Z=41267929543 M=8506
A=9911 B=3697 C=8905 X=289866162 Y=4026429113 Z=60067843415 M=9489
A=7820 B=8946 C=5421 X=210291418 Y=6365055741 Z=36030290439 M=3508
A=9109 B=8897 C=7500 X=840376790 Y=3836700821 Z=24018624635 M=2038
A=9277 B=3161 C=5720 X=801142098 Y=6290636369 Z=95958461121 M=8822
A=8681 B=6453 C=8203 X=326348313 Y=8668518830 Z=72433354642 M=6828
A=5926 B=4194 C=8520 X=610064070 Y=7358533094 Z=80446905867 M=4772
A=2188 B=9717 C=7123 X=527573053 Y=4516630932 Z=62324299520 M=3416
A=7766 B=8361 C=7034 X=264060323 Y=7536287892 Z=51649379042 M=8780
A=4524 B=3367 C=9556 X=879395386 Y=4371773480 Z=56459243505 M=1337
A=6341 B=4485 C=8320 X=538260762 Y=7345882784 Z=75032013918 M=3887
A=2426 B=5242 C=8828 X=839266522 Y=1325359372 Z=21336089103 M=3178
A=7546 B=7618 C=9920 X=707823720 Y=8779855991 Z=86253555009 M=6270
A=7429 B=9085 C=6462 X=986343953 Y=6687067392 Z=74587871774 M=5770
A=8961 B=5133 C=7745 X=823697527 Y=5821270613 Z=60560748987 M=7596
A=5763 B=5404 C=6435 X=885584608 Y=8638952952 Z=65268426262 M=3877
A=8033 B=9645 C=7422 X=114918503 Y=8310295095 Z=41898977783 M=4003
A=3387 B=9506 C=5892 X=581944598 Y=9999765452 Z=64203935162 M=5700
A=9705 B=6303 C=9106 X=197641480 Y=1014660650 Z=75687909586 M=5689
A=3682 B=6315 C=6937 X=109117490 Y=6845844343 Z=49266528336 M=6567
A=4430 B=6220 C=9845 X=897206810 Y=9616985989 Z=41935732097 M=6313
A=9118 B=3961 C=7661 X=347061188 Y=2312417772 Z=93675816318 M=8224
A=3929 B=6022 C=6728 X=338244746 Y=6857001224 Z=88650388758 M=2795
A=2237 B=3785 C=5742 X=942644197 Y=9254886719 Z=52675035173 M=7769
A=5865 B=8739 C=5431 X=329717276 Y=5973469446 Z=21497374817 M=7587
A=5415 B=5250 C=9661 X=266939723 Y=3551637699 Z=49966862064 M=4198
A=7171 B=8925 C=8003 X=577316093 Y=8837801357 Z=46346554743 M=8026
A=7972 B=5056 C=7611 X=881471024 Y=5506539332 Z=51441627593 M=7196
A=6512 B=5285 C=6313 X=893067785 Y=4186290949 Z=61403069799 M=3327
A=3750 B=7859 C=6056 X=107286671 Y=9871534445 Z=71108275899 M=8769
A=2807 B=7364 C=5790 X=376266327 Y=4783189322 Z=21828012633 M=3425
A=2092 B=5133 C=9640 X=187057770 Y=1230239964 Z=72231585646 M=5770
A=5806 B=5357 C=7797 X=971722647 Y=4806765123 Z=29569923243 M=2871
A=7330 B=4027 C=8221 X=237567288 Y=9126656545 Z=42591260182 M=3733
A=5954 B=9860 C=7940 X=345400842 Y=3666400315 Z=83189545734 M=2685
A=6553 B=5520 C=7516 X=648119849 Y=7099471970 Z=47922438879 M=7331
A=8031 B=8858 C=7592 X=324122564 Y=5523625997 Z=15267245364 M=1077
A=7314 B=4817 C=5516 X=477194596 Y=7961961808 Z=87418440353 M=7875
A=3445 B=3430 C=9636 X=903560940 Y=9239790580 Z=62706610861 M=5703
A=6126 B=6841 C=5465 X=991714255 Y=5849680771 Z=28446166789 M=6939
A=4201 B=7312 C=8909 X=699348680 Y=9820490135 Z=11042664199 M=8095
A=8158 B=9446 C=6812 X=949758909 Y=3896069662 Z=10249630981 M=7600
A=7744 B=7951 C=9731 X=676697674 Y=1796438908 Z=23667817733 M=8619
A=4237 B=4020 C=6731 X=864533157 Y=6904867296 Z=91909958058 M=3684
A=3646 B=5761 C=7396 X=842852742 Y=8892913763 Z=64004992933 M=1078
A=2858 B=4591 C=8826 X=199662387 Y=3037382354 Z=99809245453 M=3277
A=8521 B=8306 C=9573 X=354403601 Y=4489857388 Z=20938931635 M=4823
A=5121 B=3973 C=8565 X=837582642 Y=4580143143 Z=38571424552 M=9338
A=5651 B=7357 C=8766 X=594035873 Y=1035024576 Z=62199443857 M=3607
A=8840 B=4041 C=5686 X=853338745 Y=7817378566 Z=46636969428 M=6636
A=9725 B=9877 C=8022 X=149955997 Y=1240233594 Z=31058230894 M=1031
A=6830 B=8484 C=6836 X=842575600 Y=1530669293 Z=76684810911 M=2139
A=4148 B=6592 C=7894 X=234364759 Y=3976869844 Z=89731397817 M=3321
A=4193 B=7314 C=7549 X=614329952 Y=7138763355 Z=23692312811 M=8643
A=7913 B=9746 C=5480 X=817578652 Y=4504494334 Z=26810581060 M=3470
A=5396 B=3838 C=6128 X=651182614 Y=3054293787 Z=37340125484 M=5848
A=5321 B=7161 C=5984 X=455550019 Y=8367013038 Z=19324607846 M=2870
A=8917 B=3665 C=5871 X=500570380 Y=1528257245 Z=45349976795 M=2452
A=9817 B=7392 C=5061 X=284742027 Y=7944937833 Z=10570409447 M=1311
A=3245 B=4623 C=6625 X=924615829 Y=5032369637 Z=19325761553 M=3130
A=4329 B=7904 C=9449 X=460662901 Y=3209099251 Z=56682135816 M=9628
A=5351 B=5695 C=6421 X=393940179 Y=8922484914 Z=69677778824 M=8719
A=3318 B=5357 C=7877 X=597801713 Y=3601753079 Z=22311657760 M=9266
A=6181 B=8002 C=8454 X=877799855 Y=3578674747 Z=45330281791 M=4134
A=5634 B=4660 C=5826 X=348948802 Y=5607401627 Z=41714701066 M=7681
A=8970 B=5126 C=8307 X=429681763 Y=3797501576 Z=44340626922 M=7805
A=4760 B=6774 C=6364 X=213962308 Y=2268523015 Z=78588237227 M=4743
A=2355 B=7430 C=8469 X=113132274 Y=8102828442 Z=12804198367 M=5884
A=3667 B=3327 C=7602 X=457651115 Y=2247776075 Z=34986767496 M=1005
A=8070 B=3879 C=6970 X=974680904 Y=2405906365 Z=16999500311 M=5022
A=2324 B=8868 C=7919 X=126881961 Y=5268147429 Z=30771207008 M=2525
A=9918 B=3818 C=6745 X=501682602 Y=4670211383 Z=45620106762 M=1090
A=7273 B=4373 C=9513 X=811140702 Y=7151711398 Z=74114027981 M=3451
A=7350 B=8352 C=6193 X=116197639 Y=3755747064 Z=53249036699 M=9965
A=5356 B=3509 C=5038 X=535599373 Y=1101696053 Z=10597477132 M=1613
A=4802 B=8497 C=9961 X=287196477 Y=3906684139 Z=52990665927 M=8558
A=6798 B=4798 C=7407 X=796338646 Y=6855025258 Z=82044616264 M=9660
A=7697 B=4040 C=9693 X=468276614 Y=2914878496 Z=73491787327 M=8944
A=3208 B=7370 C=6867 X=446153747 Y=3533569165 Z=51895664027 M=3067
A=2885 B=4507 C=9974 X=325064287 Y=5222635064 Z=21607183099 M=3962
A=2213 B=7133 C=7013 X=534106907 Y=1250873534 Z=74758488228 M=6976
A=4883 B=3803 C=5702 X=865972534 Y=5463022090 Z=77793965135 M=9589
A=7611 B=9796 C=7291 X=842312547 Y=7494998290 Z=23499621561 M=1426
A=9606 B=3764 C=8911 X=704964758 Y=2685869091 Z=83057611594 M=1783
A=9305 B=3109 C=7617 X=699634473 Y=8251654702 Z=86012352096 M=2563
A=7012 B=8779 C=6449 X=429215605 Y=4259325718 Z=78413485194 M=7027
A=6573 B=6808 C=7888 X=895668914 Y=6510776171 Z=56621723692 M=9267
A=8058 B=5282 C=7022 X=297973906 Y=1843500142 Z=11599160467 M=2699
A=8549 B=8993 C=7116 X=120591034 Y=4578017676 Z=11314405217 M=9614
A=8349 B=6352 C=7149 X=954268586 Y=6331695665 Z=41349056375 M=6003
A=4504 B=7765 C=8307 X=923185400 Y=2471787150 Z=17370506817 M=1656
A=6292 B=5377 C=8679 X=451387343 Y=5336953740 Z=27662786145 M=3144
A=3269 B=8288 C=9849 X=432462726 Y=9395436828 Z=58252284566 M=4730
A=7207 B=4514 C=7664 X=612135671 Y=7147745340 Z=57091092934 M=1793
A=3772 B=7314 C=6147 X=129936100 Y=6478897586 Z=42211755027 M=6230
A=3598 B=3206 C=9046 X=134268138 Y=8837834725 Z=20839573359 M=7108
A=7446 B=8887 C=5122 X=906090402 Y=4612866583 Z=88315574045 M=9144
A=9451 B=3359 C=9037 X=432565576 Y=9748573708 Z=78406093767 M=2911
A=3619 B=3106 C=6235 X=278997907 Y=2623637171 Z=49140059380 M=3290
A=2802 B=8406 C=7021 X=504579545 Y=5859051992 Z=31070971172 M=1031
A=4486 B=3289 C=6318 X=280163653 Y=4236493012 Z=89128762739 M=4406
A=7248 B=5718 C=8863 X=571182572 Y=1207208778 Z=29851387414 M=8226
A=5601 B=3763 C=7552 X=456359253 Y=3205913131 Z=55716720650 M=1897
A=2576 B=3410 C=8932 X=287717192 Y=2680797509 Z=46848298915 M=8572
A=4990 B=3092 C=8851 X=592286391 Y=9442453006 Z=35218876032 M=7578
A=8289 B=8200 C=5661 X=156512811 Y=4633337086 Z=45351846593 M=1877
A=3341 B=3069 C=9681 X=208033976 Y=6191681269 Z=44721032557 M=4827
A=7047 B=4779 C=8975 X=316528336 Y=5714677609 Z=45088817060 M=7810
A=3418 B=6500 C=5410 X=535154067 Y=8186299691 Z=51049924778 M=7403
A=6481 B=6617 C=6581 X=851614317 Y=4736936267 Z=94419800966 M=6087
A=4574 B=6502 C=6947 X=808386293 Y=4411345275 Z=21755101726 M=1342
A=3093 B=9745 C=6317 X=662938224 Y=5088453034 Z=53070474126 M=7934
A=5605 B=7772 C=9726 X=209175410 Y=4484311643 Z=39931865529 M=7196
A=9071 B=8810 C=9687 X=660262084 Y=3936928992 Z=53439692481 M=9392
A=9205 B=4638 C=7406 X=397376527 Y=1610256726 Z=94690189363 M=1940
A=2038 B=6342 C=6008 X=776004668 Y=6787597873 Z=40569113031 M=8676
A=8472 B=5416 C=8112 X=750190174 Y=7196234468 Z=33321138362 M=6510
A=6393 B=4637 C=7406 X=306571874 Y=4187306503 Z=56203253295 M=4978
A=9987 B=8318 C=9920 X=640675102 Y=6543058587 Z=78368719688 M=9058
A=7861 B=3729 C=8411 X=399397957 Y=7794039699 Z=59932949870 M=4032
A=3792 B=6465 C=5184 X=714226307 Y=1816408838 Z=87138893477 M=4884
A=3806 B=7245 C=6526 X=675139282 Y=5331560076 Z=44765989661 M=9942
A=3424 B=3752 C=9987 X=373798975 Y=2323371656 Z=19749615556 M=7389
A=8671 B=7399 C=5101 X=437171613 Y=9853663251 Z=71398320547 M=5268
A=9026 B=6138 C=7245 X=490511252 Y=1206166040 Z=85553784145 M=2891
A=9393 B=4222 C=7580 X=565296142 Y=1639507321 Z=10111364396 M=8497
A=3142 B=3085 C=5602 X=622413226 Y=4451960787 Z=41992896891 M=9552
A=8880 B=8911 C=5955 X=322091550 Y=5997438188 Z=38648331780 M=7118
A=5082 B=5023 C=7074 X=127459245 Y=8114563838 Z=43904841081 M=3541
A=2926 B=5197 C=5651 X=289023231 Y=9972737048 Z=33150097092 M=9949
A=9455 B=8514 C=8398 X=224071094 Y=3777181204 Z=91898477085 M=6941
A=7205 B=5836 C=9671 X=793383646 Y=2435063865 Z=84995815307 M=9362
A=9934 B=9391 C=5976 X=241580158 Y=4797918166 Z=56444137757 M=6902
A=9397 B=7704 C=6861 X=128241405 Y=6882893148 Z=88403791739 M=6160
A=7048 B=5312 C=7726 X=143675348 Y=2571279554 Z=29239809133 M=2615
A=7458 B=7612 C=9413 X=545982603 Y=3371449969 Z=73923939218 M=2543
A=5550 B=8837 C=5985 X=287053595 Y=7964155429 Z=22074516000 M=8833
A=7453 B=5563 C=7960 X=484252490 Y=7175609111 Z=92900991876 M=8363
A=4431 B=9319 C=6640 X=493604208 Y=6242132064 Z=75467508736 M=8058
A=5063 B=9659 C=8829 X=325464887 Y=7221605589 Z=16759574572 M=1519
A=2015 B=3373 C=9363 X=408894397 Y=1234070473 Z=76386934643 M=7613
A=8755 B=8515 C=5378 X=683631133 Y=2251699673 Z=43556709037 M=6184
A=9933 B=3674 C=8314 X=918008454 Y=7336755683 Z=92264769332 M=1491
A=2276 B=4115 C=8500 X=117603192 Y=3938385295 Z=52550334649 M=3708
A=5921 B=8325 C=7914 X=248735559 Y=3515657780 Z=16458920554 M=1700
A=7728 B=3772 C=7501 X=167292359 Y=8025979249 Z=15654759034 M=4748
A=9572 B=7804 C=7863 X=273708160 Y=2289498007 Z=17900034512 M=2332
A=8587 B=3250 C=9657 X=524620731 Y=9631778866 Z=42332234525 M=6693
A=4364 B=3130 C=7449 X=344734161 Y=8921557609 Z=75544358681 M=9909
A=6154 B=9896 C=8181 X=515915050 Y=4781550197 Z=38342987525 M=6768
A=7156 B=7675 C=9807 X=541292549 Y=2689173871 Z=33832885175 M=5288
A=6435 B=5206 C=6875 X=711983342 Y=3044938847 Z=96496796945 M=5329
A=9584 B=8553 C=7478 X=187730634 Y=6739644810 Z=65134268616 M=2819
A=9806 B=4718 C=8294 X=986907383 Y=4488623130 Z=34910927844 M=3709
A=7241 B=8319 C=7629 X=492640154 Y=1843080847 Z=46566161646 M=8572
A=3535 B=7391 C=5759 X=399770035 Y=7032391047 Z=59779933363 M=5219
A=7454 B=4916 C=9641 X=521181182 Y=9737417555 Z=87930684857 M=4382
A=9662 B=7120 C=9526 X=469835525 Y=3894122421 Z=77909598472 M=5027
A=3026 B=9076 C=8329 X=517917484 Y=3735425322 Z=95106177996 M=8052
A=2371 B=5883 C=8829 X=273626411 Y=9141464137 Z=30137746960 M=9221
A=5818 B=9976 C=9325 X=536192498 Y=1130025785 Z=97409148624 M=4293
A=7365 B=8654 C=5962 X=178004191 Y=4983122415 Z=84801825488 M=2226
A=6105 B=6503 C=7237 X=765616329 Y=2866228043 Z=75218652281 M=8225
A=8525 B=5200 C=5062 X=392921901 Y=2478917369 Z=40774391636 M=8163
A=4958 B=7719 C=6459 X=577005428 Y=1513413731 Z=89165820463 M=7295
A=8456 B=6730 C=6584 X=873189802 Y=2972913215 Z=54192457957 M=5144
A=2934 B=5834 C=7910 X=880569701 Y=2896352180 Z=61060189645 M=6892
A=4384 B=4783 C=6990 X=599147015 Y=5328337208 Z=37815188495 M=3593
A=2734 B=6795 C=5075 X=788612622 Y=6933042912 Z=87061440415 M=4954
A=5665 B=4594 C=9173 X=304978891 Y=6711240707 Z=17518641736 M=3056
A=4308 B=3535 C=6965 X=157750532 Y=3903728052 Z=11833871099 M=2178
